instance,param,value,cost_mean,cost_std,cost_min,gap_mean_pct,gap_best_pct,time_mean_s,wall_mean_s,routes_mean,runs
C101 (TW),fast,False,850.9,7.852105167122735,829.0,2.888,0.2,42.50599999999999,42.50938379999716,10.2,10
C101 (TW),fast,True,829.0,0.0,829.0,0.2,0.2,38.784000000000006,38.78800695999526,10.0,10
